PuzzleId,GameId,FEN,Moves,Rating
AYMyJ,,rnbqkb1r/pp1pn1pp/5p2/1Np1p3/2B1P3/5N2/PPPP1PPP/R1BQK2R b KQkq - 3 5,a7a6 b5d6,1164
AYNYx,,r1bqk2r/5p2/p2b1p1p/1p1pp2Q/8/1BNPnP2/PPP1N1PP/R3K2R b KQkq - 2 16,d5d4 h5f7,650
AYNyA,,2kr1b2/pp4np/8/5b2/8/1B6/PP1P1pPP/R1BK3R w - - 0 20,b3c2 f5g4,1498
AYO2J,,6k1/p4pp1/1p4r1/2p4Q/3p1P2/1N2q2P/PPP3K1/5R2 w - - 5 28,g2h2 e3g3 h2h1 g3g2,1396
AYND4,,1r1q2kr/1b1pbp2/p3Nn1B/4p3/2p1P3/2P2N2/PP1Q1PPP/R3K2R b KQ - 2 20,d7e6 d2g5 g8h7 g5g7,1224
AYNH5,,r4kr1/pQ5p/1n4p1/1P4q1/2p2R2/2P5/P5PP/4R1K1 b - - 0 26,g5f4 b7e7,1083
AYNPD,,2b3kr/4Rp2/p3p1q1/3pP3/1p1N4/5QPp/PP3P1P/6K1 w - - 0 29,f3f4 g6b1 f4c1 b1c1,630
AYRBx,,2r5/6k1/1r2p3/3pp1Np/1Pn4P/6P1/Pp5R/1K2BR2 w - - 2 44,h2b2 c4a3 b1a1 c8c1 b2b1 c1b1,1649
AYRFr,,5rk1/pp1R2p1/4N2p/8/8/P3n3/1Pr5/1K5R b - - 1 36,f8f2 d7g7 g8h8 h1h6,1348
AYRGU,,r2q1rk1/1pp2pp1/p2p3p/3n4/2B1P3/P1NPRP1b/1PP2P2/R2Q2K1 w - - 1 15,c3d5 d8g5 g1h2 g5g2,923
AYQxB,,3r4/1p2Q3/pbp1P1kp/3p2p1/P2P2q1/2RR1rN1/5P2/6K1 b - - 1 40,f3d3 e7f7,1206
AYR6E,,6rk/pQ4pp/1b6/3P4/qP6/8/1B5P/1KR5 b - - 1 37,a4b4 b7g7 g8g7 c1c8 b6d8 c8d8 b4f8 d8f8,1589
AYR9g,,2Q5/pp4pk/3b1p2/1q5p/7P/2P4R/P1r3P1/3R3K w - - 0 35,d1d6 b5f1 h1h2 c2g2,1719
AYRmU,,5B2/ppR4p/3R4/7k/6b1/5n2/PP2r3/6K1 w - - 2 34,g1h1 e2h2,1163
AYRwW,,3rr1k1/1R3p1p/4b1p1/p1p5/P2qP3/5QPB/5P1P/2R3K1 b - - 1 26,e6h3 f3f7 g8h8 f7h7,1190
AYS0d,,r1b1k2r/ppp2ppp/2p5/6q1/2N5/4n1K1/PPPP1PP1/RNBQR3 w kq - 5 12,g3h2 g5g2,825
AYRW2,,2r2rk1/pp4b1/1nb1p1BR/4P3/1q3PP1/2N1p3/PPP4Q/2KR4 b - - 0 21,b4f4 h6h8 g7h8 h2h7,1612
AYRbH,,5k2/7R/5K2/1b2p1p1/1r2B3/8/8/8 b - - 0 49,b4e4 h7h8,1055
AYRcW,,r3k2r/ppp1bpp1/3p4/8/P1NpP1n1/1P1P1BPq/2PQ1P2/R3R1K1 w kq - 3 17,f3g4 h3h1,1079
AYQsY,,4R3/1p1R4/p1p2N2/2k1p1p1/2P1Pq2/3n1P1K/6PP/8 w - - 7 52,d7d3 f4h4,953
AYPzI,,r2r1k2/1p4pQ/p1np2P1/4p3/P1P1P3/1P6/6PP/5K2 b - - 0 25,c6d4 h7h8 f8e7 h8g7 e7e6 g7f7,1029
AYQ30,,3R2r1/p5bk/2N2B1p/1p3p2/1P2q3/1QP3K1/P6P/8 b - - 2 37,g7f6 b3g8,1533
AYQ7H,,r4rk1/p1R2pp1/1p2p2p/8/8/5QP1/q6P/6RK b - - 0 25,f8c8 f3f7 g8h8 f7g7,1071
AYPjl,,r3k2r/p3ppbp/2p2np1/2p2b2/3qp3/1PN2P2/PBPPQ1PP/2K1R1NR b kq - 0 11,e4f3 e2e7,512
AYPkW,,r1bq1rk1/pp1nnpp1/4p3/b1ppP1NQ/3P4/P1N5/1PPB1PPP/R4RK1 b - - 3 13,f7f6 h5h7,928
AYPsq,,8/3P4/8/4PK1k/1b6/p7/6R1/3r4 b - - 3 68,b4a5 g2h2,1127
AYQet,,rn3rk1/ppp1npp1/5q1p/2b5/6b1/2PQRNP1/PPB2P1P/RNB3K1 b - - 10 16,c5e3 d3h7,786
AYQf4,,6K1/6P1/1R1Pk3/8/8/8/8/r7 w - - 1 60,g8f8 a1a8 b6b8 a8b8,1285
AYQig,,r2qkb1r/ppp1ppp1/3p1n1p/4N3/2B1P1b1/3P4/PPP2PPP/RNBQR1K1 b kq - 0 7,g4d1 c4f7,1320
AYQEP,,5rk1/p1q3b1/2p1p1QR/2p5/2P5/2Pr4/P3RPK1/8 b - - 0 27,c7f7 g6h7,756
AYQFL,,7k/R7/6K1/8/p7/P7/1Pp5/8 b - - 1 72,c2c1q a7a8 c1c8 a8c8,741
AYQcz,,6k1/R5p1/1rpq3p/5Q2/8/6PP/5P1K/8 b - - 0 36,b6b8 f5f7 g8h8 f7g7,988
AYX6t,,3r2k1/5p2/4p2p/4Pqp1/8/1PrbQN2/P2R2PP/3R2K1 w - - 2 25,f3e1 f5f1,565
AXtSF,,4r3/5p1k/1p2r2p/1Nb5/3B4/1P1R4/P4PPP/R5K1 w - - 3 30,d4c5 e6e1 a1e1 e8e1,599
AXtPy,,1r4k1/4p2R/3b2p1/p4p2/1Pb5/K1P2P2/PB6/R7 w - - 1 28,a1h1 a5b4 c3b4 b8a8,1759
AXtNj,,r1b2rk1/pp3ppp/2p5/qn2Q3/4B3/2N1P1P1/PP3P1P/2R1K2R b K - 5 16,f8e8 e5e8,564
AXtt9,,rn1qk2r/1bp2p2/pp2p1Bp/b2pP1NQ/3P4/1R6/P1P2PPP/2B2RK1 b kq - 0 14,f7g6 h5g6 e8d7 g6e6,1472
AXtpj,,5r2/pp2n2k/8/7N/3R2KP/1B3b2/PP6/8 w - - 0 41,g4g5 f8f5,1135
AXtoj,,5R1R/6k1/p5p1/1pqp4/8/3p4/PPP3PP/7K w - - 0 32,c2d3 c5c1 f8f1 c1f1,558
AXt87,,1rr3k1/5pb1/4p1b1/pN1q4/P1p4Q/2B1nN1R/7P/2R4K b - - 5 37,e3f5 h4h8 g7h8 h3h8,1621
AXt5X,,1r2R2k/1b3Qpp/p4n2/2p5/8/6Pq/PPP2P1P/4R1K1 b - - 2 28,b8e8 e1e8 f6e8 f7e8,1056
AXszz,,r3qb1r/pppk4/4p1Qp/4P1p1/8/2P1P3/PP3PPP/3RK2R b K - 2 16,d7c8 g6e8,650
AXtJx,,r2q1r1k/pp1nbp1p/2p3B1/4p1N1/5p1Q/3P4/PPP2PPP/R1B2RK1 b - - 0 16,f7g6 h4h7,884
AXtI7,,2Q3k1/5Np1/pq3b1p/1p1p4/5r2/7P/PP3PP1/4R1K1 b - - 1 27,g8f7 c8e8,1229
AXtDl,,rn2k2r/2p2pp1/p2bp2p/8/3P1q2/2NQ1b2/1PP1BPPP/R4RK1 w kq - 0 14,e2f3 f4h2,653
AXtuc,,7k/pp4pp/2p3n1/6B1/2QP4/P1P5/5qPP/4rR1K w - - 2 25,f1e1 f2e1 c4f1 e1f1,606
AXv5O,,5k2/5pb1/4n1pp/3N4/R5n1/6P1/3K3P/8 b - - 4 36,g4h2 a4a8 e6d8 a8d8,547
AXv3d,,r5k1/1p5p/p1n3pB/2p5/P1q5/2P2Q2/7P/5RK1 b - - 1 27,c4e6 f3f8 a8f8 f1f8,632
AXuyw,,6k1/p4ppp/5b2/8/2R5/P4B2/1r3rPP/3R2K1 b - - 1 24,f2d2 c4c8 f6d8 c8d8 d2d8 d1d8,958
AXvHD,,r6k/p1q1bQpp/1p6/2p3N1/2Bn4/8/PP4PP/3R3K b - - 2 21,a8f8 f7g8 f8g8 g5f7,1296
AXvGL,,1r6/2p3pp/P4pk1/3Qp3/1qNP4/4P3/5PPP/R5K1 w - - 3 30,a6a7 b4b1 a1b1 b8b1,999
AXv7y,,r3r1k1/p1p3pp/3b1n2/2pp1b2/7Q/2PP4/PP1B1PPP/RN2q1KR w - - 0 17,d2e1 e8e1,856
AXuIR,,2r3k1/1p2pp1p/pq4p1/3Pb1P1/4PN2/P4Q1P/1Pr5/2R2R1K w - - 3 25,f4d3 c2h2,1113
AXuDM,,3r3k/pp1P2pp/1q6/3Q4/8/1p6/P5PP/4R2K b - - 4 26,b3b2 e1e8 d8e8 d7e8q,1043
AXtx5,,3R1rk1/5ppp/4pn2/8/6q1/P5r1/1P1Q1RP1/6K1 b - - 5 29,f6e4 d8f8 g8f8 d2d8,943
AXume,,8/5p2/3R1p2/5k1p/5P1K/6P1/r6P/3q4 w - - 0 46,d6d1 a2h2,589
AXuYP,,6k1/2Q2bp1/2nB1p2/1Nbp1q1p/p7/2PP3P/B4PP1/5K2 w - - 3 36,c7c6 f5f2,1086
AXuXL,,6rk/pp1b3q/2n1p3/3P4/2B2prN/B1P3PK/P2Q1P2/R6R w - - 0 24,d5c6 g4g3 f2g3 g8g3 h3h2 h7h4,2025
AXrw6,,r4rk1/pp3pp1/3q3p/2pP4/2P2Nn1/3n4/P2Q1PPP/2R2RK1 w - - 0 22,f4d3 d6h2,959
AXrjG,,1r1qkb1r/pp1bn1pp/3p1n2/1NpPp3/2P1Pp2/1Q1B1N2/PP3PPP/R1B1K2R b KQk - 7 11,a7a6 b5d6,885
AXrhT,,5Nr1/1qp2Qpk/2np1n1B/1pb1p3/4P3/2PP3P/1P3PP1/1N3RK1 b - - 4 21,h7h6 f7g6,866
AXs10,,r6r/pp2bp1p/n1p1kp2/4pN2/4P3/P1N5/1PP2PPP/2KR3R b - - 0 14,h8d8 f5g7,1112
AXrwz,,2r2r1k/1bq2p1p/p6N/1pp2Q2/4pn2/2Pp3P/PP3PP1/R2B1RK1 b - - 4 26,f4g6 f5f6,1255
AXrwI,,5q2/3b4/k3p3/2n1Pp2/pNr2P2/8/P2Q2PP/1R4K1 b - - 5 38,a6a7 b4c6 d7c6 d2a5 c5a6 a5b6 a7a8 b6a6,1586
AXrG4,,r5k1/p1p1pp1p/1p2q1p1/1PP5/Q1pr4/P7/5PPP/1N1R2K1 w - - 0 21,d1d4 e6e1,399
AXqhR,,2kr4/ppp1bp1p/2p3r1/4P1p1/3P2P1/1N2B3/PP2nPP1/R4R1K w - - 2 20,a1e1 g6h6,1101
AXvwg,,1rb2rk1/pp3ppp/8/8/2Bq4/5Q1P/P1R2PP1/3R2K1 b - - 4 18,d4e5 f3f7 f8f7 d1d8 e5e8 d8e8,1801
AXrWU,,r1b2rk1/p5p1/2p1pb1Q/1p1nN3/3P2RP/6R1/P1P2qPK/8 b - - 1 25,f6e5 g4g7 e5g7 h6g7,1090
AXrWB,,4k3/4pr2/p2rR2Q/8/1qp5/8/PPP2PPP/4R1K1 w - - 0 26,e6d6 b4e1,752
AXrJq,,1r1q4/p1pn2p1/3p1n1k/5Q2/2PP3P/8/PP2rP2/2KR2R1 b - - 1 26,d8e8 f5g5 h6h7 g5g7,1251
AXs4z,,8/pp6/6P1/8/3Qk3/P1P1r2P/3nr3/6K1 b - - 3 45,e4f3 d4g4,1241
AXsml,,4r2k/7p/1p4p1/p1pQ4/P7/1P5P/3p1PP1/5qK1 w - - 0 50,g1f1 e8e1,722
AXsjD,,4rr2/pp2n2k/3p2p1/2pPp1RB/2P1P3/4K2b/PP3P2/3N2R1 b - - 0 25,g6h5 g5h5,1422
AXsiM,,7r/5pk1/4p1p1/8/5R2/PR2P3/r4PP1/6K1 w - - 6 38,b3b7 a2a1 b7b1 a1b1,646
AXsuB,,r2r1k2/3q1p1n/p2p2pN/4p3/2p1P2P/P1P2P2/1P2QP2/2R3RK w - - 1 26,e2c4 d7h3,556
AXsrd,,4r1k1/p3rBpp/1p6/2n5/3b4/7P/PP4PK/4RR2 b - - 0 25,e7f7 e1e8 f7f8 f1f8,1025
AXspX,,r4rk1/2b2pp1/p1bq1n1p/1p1p4/PP1B4/2PBP3/4NPPP/R2Q1RK1 w - - 1 18,a4b5 d6h2,831
AXsBt,,3r2k1/ppp3pp/8/8/1P1q4/P3pQ2/2P3PP/5R1K b - - 1 22,d4d2 f3f7 g8h8 f7f8 d8f8 f1f8,1176
AXs7v,,7k/1p4p1/1p1p1r1p/7q/1N6/r4pPP/PRQ2P2/4R1K1 b - - 4 33,h5h3 e1e8 f6f8 e8f8,955
AXs70,,1rk2b1r/p1p1p3/bpn2NQ1/8/3P2P1/2P3P1/PP2qPB1/R1B2RK1 w - - 1 17,g2c6 e2f1,952
AXsXL,,5r1k/1pp3bp/p2pB1p1/q2P4/1R1Q3n/P3B2P/1PP3P1/6K1 b - - 4 26,g7d4 e3d4 f8f6 d4f6,720
AXsPM,,3r3r/pkp3pp/1p2p3/4b3/PP4p1/2P5/4qPP1/RNB1R1K1 w - - 0 18,e1e2 d8d1 e2e1 d1e1,842
AXsJZ,,2r1k3/5pp1/2q1p2p/4Q2P/8/B5N1/PP3PP1/1K1R4 w - - 11 33,e5d4 c6c2 b1a1 c2c1 d1c1 c8c1,1177
AXvQe,,7k/pp1n2pp/8/8/4B1nq/8/PPPQ1rP1/RN2RK2 w - - 0 18,d2f2 h4f2,1503
AYZAL,,r5k1/2pb4/7p/1p5n/p2PRr2/2P3p1/PPB3P1/RN1Q1q1K w - - 2 27,d1f1 f4f1,414
AYZAx,,5r1k/p6p/1p3PpN/2p5/4q3/2Bn1R2/P6P/6K1 b - - 0 32,e4f3 f6f7 d3e5 c3e5 f3f6 e5f6,975
AYZB5,,r1bk1Q1r/ppppn3/8/6p1/2B1q3/8/PPP3PP/R1B2R1K b - - 1 17,h8f8 f1f8,412
AYYyk,,r1bq1rk1/ppbn3p/2p1p1pQ/2Ppp3/3P4/3BP2R/PP4PP/RNB3K1 b - - 1 14,d8f6 h6h7,795
AYZ4L,,8/1p1q1n1k/p6p/6pN/5p2/1PQ2P2/P5KP/8 b - - 1 34,d7f5 c3g7,904
