PuzzleId,GameId,FEN,Moves,Rating
WqvKt,,6k1/pb2RR2/2q3pQ/8/5b2/Nrpp3P/6PK/8 w - - 0 37,h6f4 c6g2,400
WqvTz,,8/7p/4pkp1/8/3P1PNP/4PK2/r7/8 b - - 0 52,f6f5 e3e4,1371
WqvPd,,rnbqkb1r/pp1pp1p1/2p4n/6BQ/2BPp3/2N5/PPP2PPP/R3K1NR b KQkq - 0 6,h6f7 c4f7,545
Wqv1w,,r2qkb1r/3P4/p1p1Pp2/2p2ppp/4pB2/2P5/PP3PPP/R2QK2R b KQkq - 0 16,e8e7 d1d6,1039
WquvS,,2k3nr/ppp2pp1/1b5p/4p3/1P6/2q5/4B1KP/3R4 b - - 0 25,c3e3 e2g4 f7f5 g4f5 c8b8 d1d8,890
WqvHJ,,k6r/2p2pb1/1p1p2p1/1N2p1P1/1KP1P3/3q4/8/Q7 b - - 1 41,a8b7 a1a7 b7c8 a7c7,1188
Wqv3Z,,5rk1/2p1b1pp/8/5p2/4B3/2P1qP1Q/rP1N3P/2KR3R w - - 0 18,e4b1 e3c3 b2c3 e7a3,2042
WqsES,,5r1k/4qp1Q/p1pr1N2/4pb2/P1p4R/3P2P1/1PP2P1P/R5K1 b - - 0 23,f5h7 h4h7,683
Wqs9A,,1r2k1r1/4p3/p1p1Nbp1/q1p2P2/2Pp2nQ/3P1R2/PP4PP/R1B4K w - - 1 24,h4g4 a5e1 f3f1 e1f1,592
Wqsga,,4r3/5pk1/1qpQ2pp/p2p4/B5r1/5b2/PPP2NPP/4R1K1 w - - 1 27,e1e8 g4g2 g1f1 b6f2,997
WqsHQ,,5k2/1b3rpp/p7/2P5/1R6/1P3P1P/1P1r2PK/4R3 b - - 0 36,b7f3 b4b8 d2d8 b8d8,912
WqrzP,,r1b2rk1/1pqp1p1p/p3pP2/2b1P3/2Pp1PQ1/P2P4/1P5P/R1B2RK1 b - - 2 18,g8h8 g4g7,658
Wqrsh,,7r/4R2p/2R5/1p3p2/5Qp1/1q2P1P1/r3kP1P/6K1 w - - 8 37,e3e4 b3d1 g1g2 d1f1,1832
Wqs8d,,rn1r2k1/pp1bbp2/2p2R1Q/4q1N1/4P3/2N3P1/PPP3BP/R6K b - - 0 18,e7f6 h6h7 g8f8 h7f7,1006
Wqs7Y,,2kr3r/pp3p2/2n1bN2/2Rp3p/5B2/3B4/P1P3PP/6K1 b - - 3 21,h5h4 c5c6 b7c6 d3a6,1488
WqshH,,2R5/3B1pkp/6p1/P1p3P1/5PK1/2rn3P/8/8 w - - 1 41,d7b5 d3f2 g4h4 c3h3,1080
Wqt7F,,8/R7/2p5/3k4/4n3/P4r2/1PP3p1/2K3R1 w - - 0 37,a7g7 f3f1 g1f1 g2f1q,962
WqsxV,,7k/R7/1r2B2p/6p1/7n/8/8/5RK1 b - - 0 48,b6e6 f1f8,995
WqtZk,,4r3/pp2Nr1k/2p1N1pp/2q5/7Q/8/P3R1PP/7K w - - 2 30,e6c5 f7f1,525
WqtSc,,4Q3/8/4p3/4kp2/2p5/8/3q2PP/R6K w - - 6 46,a1a6 d2c1,461
Wqskv,,5r2/pp5p/5q2/4N2n/4Q1pk/2N5/PP3b2/7K b - - 10 32,f2g3 e4g4,811
Wqsig,,2k4r/ppp2ppp/2n5/2br4/4q3/2P2R2/PP2QPPP/RN4K1 w - - 5 18,e2e4 d5d1 e4e1 d1e1,579
Wqsuz,,r5k1/pQ4pp/3P4/2q1r3/8/8/PP4PP/5R1K b - - 0 24,a8e8 b7f7 g8h8 f7f8 e8f8 f1f8,1138
Wqsq4,,rn3b1r/1b2kB2/p1q2npp/1pB1p3/8/1QN5/PP3PPP/R2R2K1 b - - 9 17,c6c5 b3e6,1033
Wqvqj,,r2q2kr/pppb1Bbp/5np1/8/8/B7/P2N1PPP/R2QR1K1 b - - 0 14,g8f7 d1b3 f6d5 b3d5 d7e6 d5e6,1425
WqyQR,,r1bq2nr/p1p5/1pnb1p2/k3pP2/2Bp4/BP1P2Pp/P1PQ3P/RN3RK1 b - - 3 23,d6b4 a3b4 c6b4 a2a3 b6b5 d2b4 a5b6 b4b5,1897
WqyOt,,3r3k/1p1q2p1/5n1p/7R/p1BB4/P1P3P1/1P1Q1PP1/6K1 b - - 8 35,f6h5 d2h6,1380
Wqyod,,2rq1rk1/p3bpp1/1p2pN1p/4n3/3P4/3Q1P2/PPB2P1P/R4RK1 b - - 4 18,e7f6 d3h7,507
WqyZp,,1b1r4/1P5p/5Qpk/8/8/5B1P/3q2P1/4R2K w - - 9 38,e1d1 d2d1 f3d1 d8d1 f6f1 d1f1,680
WqxiM,,1k1r4/p1ppP2r/1p2p3/1P4p1/2nP2N1/Pq4P1/6QP/2B2RK1 b - - 0 27,d8h8 f1f8 h8f8 e7f8q,1570
WqxHp,,r4rk1/1pb2ppp/p1pqbn2/3p4/PP1P4/2P1B3/1N1N1PPP/R2Q1RK1 w - - 2 18,d1b3 d6h2,399
WqxzR,,r1b2rk1/pp3Rpp/3R4/2p5/2B1P1nP/2N5/PPP3P1/2K5 b - - 0 15,f8f7 d6d8,623
Wqxih,,6k1/p4p1p/1p1p2p1/1Q6/1PP1b3/P4P2/4r1qP/6RK w - - 0 27,g1g2 e2e1 g2g1 e4f3,1194
WqzJD,,4r1k1/pp6/2p5/5R2/2P1P3/2Q1K3/PP4q1/R7 w - - 3 34,a1f1 e8e4 e3d3 g2e2,1741
Wr0Nf,,3r3k/ppp3pp/8/3P4/2B2r2/4bR2/PPP5/1K3R2 b - - 0 27,f4c4 f3f8 d8f8 f1f8,1043
Wr0M2,,k5r1/ppR5/8/8/1P2p3/8/P4PqP/2R1QK2 w - - 7 38,f1e2 g2f3 e2f1 f3h3 f1e2 h3d3,2335
Wr0bR,,6k1/r1p3pp/2Qp4/1p1Pp3/5p2/5PqP/1P4P1/2R3K1 b - - 4 29,b5b4 c6e8,731
Wr0S1,,2Q5/5ppk/7p/3Pp3/2P2q2/5N2/5PPP/2R3K1 w - - 1 32,c4c5 f4c1 f3e1 c1e1,693
WqzRf,,2r5/p1q1p3/3p1kp1/8/4PQp1/1r3P2/1P6/1K1R3R b - - 3 28,f6g7 h1h7 g7h7 f4f7 h7h6 d1h1 h6g5 f3f4,2144
WqzPw,,4Qnk1/pq4pp/4p3/3p4/3P4/8/r5PP/5RK1 b - - 1 24,b7b4 e8f7 g8h8 f7f8 b4f8 f1f8,1446
Wqzvm,,6k1/p6p/6b1/3B4/3B4/1n5P/r5P1/4R1K1 b - - 1 35,g6f7 e1e8,1077
WqzTw,,2krr3/1ppb2pp/p7/1P3n2/2PP4/5N2/5PPP/R1B2RK1 b - - 0 18,a6b5 a1a8,749
WqwSW,,r2R3k/2q3pp/p7/1p6/2p1n3/P6P/BPP2QP1/5R1K b - - 0 27,a8d8 f2f8 d8f8 f1f8,1123
WqwQu,,r4rk1/ppp3pp/2np4/4p2q/2P1Ppb1/PP1P1Pb1/1B1N2B1/R2Q1RK1 w - - 0 16,f3g4 h5h2,781
Wqweq,,2r2r2/p2n1k1Q/1q1P2p1/6P1/1pb1P3/1NN5/PPP5/1K5R b - - 4 26,f7e8 h7e7,1186
WqwTX,,r1b2rk1/ppp2p2/3p1Q1R/2q3p1/2P5/6P1/PP3PP1/2KR1B2 b - - 1 16,c5e5 h6h8,1357
Wqw2e,,6k1/p5p1/3p3p/3P1P2/3q1Bn1/7P/PP4P1/2Q3K1 w - - 1 27,g1f1 d4f2,1229
WqvyK,,r2qkb1r/p1pp1ppp/1pn5/3Q4/8/2P1BN2/P1P2P1P/2KR4 b kq - 2 13,d8f6 d5d7,1545
WqwP2,,4r1k1/R1Q2bbp/5q2/2N2pp1/1PpN4/2P3P1/5PPK/8 w - - 0 39,c5d7 f6h6 h2g1 e8e1,930
Wqw5u,,Q4rk1/5p1p/R2p1Pp1/1p3bP1/7q/1P6/1P4P1/6K1 b - - 8 34,h7h5 a8f8 g8f8 a6a8 f5c8 a8c8,1153
WqwoL,,r5k1/1p2n1pp/2p1N3/3pP3/1P1b3q/5Q2/6PP/5R1K b - - 1 27,e7g6 f3f7 g8h8 f7g7,1443
WqxBc,,2kr3r/pp1npp1p/2p1b1p1/8/5BP1/P7/1P2BP1P/2RR2K1 b - - 2 18,h7h5 c1c6 b7c6 e2a6,1845
WqxBW,,r1bq3r/ppp2k1p/3P1ppB/5n2/PPNP4/1B1PR3/5PPP/R5K1 b - - 0 19,f5e3 c4e5 f7e8 b3f7,1839
WqxFS,,4r3/7k/p6p/1p1p1p2/8/P1P3pP/1PbN2P1/2R4K w - - 0 43,c1c2 e8e1 d2f1 e1f1,486
WqxDM,,r1bq1b1r/2Nknpp1/2np3p/1N2p1B1/4P3/8/PPP2PPP/R2QK2R b KQ - 2 12,h6g5 d1d6,1373
Wqwv1,,1r4k1/p4ppp/2p3b1/4p3/7Q/2P5/P1RN1PPP/6K1 w - - 4 20,d2c4 b8b1 c2c1 b1c1,1306
Wqws8,,r3r3/1pq2pnk/p2p1R1p/2p5/4P2Q/7P/PPP3P1/R5K1 b - - 2 23,e8h8 f6h6 h7g8 h6h8,1508
WqxAy,,6rk/pp3p1p/4p3/3p2q1/3P1p2/2P2PrP/PP1Q1RP1/6RK w - - 2 31,d2e2 g3h3 g2h3 g5g1,1077
WqwxV,,4r1k1/pp3pp1/2p1r2p/2P5/1P6/2P3qP/P1QR2P1/5R1K w - - 6 27,f1d1 e6e1 d1e1 e8e1,1029
Wql5X,,2R5/pp1Nrppk/5b1p/3p1Q2/1q1P1P2/1P6/P5PP/6K1 b - - 5 30,g7g6 d7f6 h7g7 c8g8,1470
Wql3h,,8/5p2/8/R7/6Pk/7P/p4K2/r7 b - - 7 48,a1h1 a5h5,707
WqlM9,,4r2k/5R1p/p5p1/1pp5/8/6Q1/PPP3PP/4q2K w - - 1 31,g3e1 e8e1 f7f1 e1f1,614
WqlHY,,r4rk1/2p2pp1/3p2n1/p3N3/1p2q3/2P4R/PPB5/1K5R b - - 1 30,e4e5 h3h8 g6h8 c2h7,1793
Wqkjt,,4k1r1/8/p7/2pPb3/Pp2P3/1P1BKR2/6r1/R1B5 w - - 2 36,a1b1 e5d4 e3f4 g8f8,1475
WqkXY,,7k/p1p4p/2p5/4b1BK/7P/2P5/Pr6/5R2 b - - 0 29,b2a2 f1f8 h8g7 g5h6,1391
Wql1c,,r1bqkbnr/pp1p1ppp/2n5/2p1p3/2B1P3/2P2Q2/PP1P1PPP/RNB1K1NR b KQkq - 1 4,d7d6 f3f7,865
Wqkqd,,6k1/5pb1/1n4pp/N7/4rn1P/2P5/PP3PP1/1R3RK1 w - - 2 24,a5b3 f4e2 g1h1 e4h4,1134
WqlO0,,1r1q1R1k/2b4r/2B4Q/1Pn1P1p1/3p4/3P2P1/7P/5RK1 b - - 3 35,d8f8 f1f8 b8f8 h6f8,1051
WqnAS,,7k/pb5p/1p4p1/8/6B1/P7/1P1r1PPP/4R1K1 w - - 2 25,e1e2 d2d1 e2e1 d1e1,944
Wqn6Z,,r2q1rk1/2R2Rbp/p3p1p1/8/Pp6/3N1Q1P/1P3PP1/6K1 b - - 0 27,f8f7 f3f7 g8h8 f7g7,855
WqnKR,,2r1kbnr/pQ3ppp/B3p3/q2p4/3P1B2/5b2/PP3PPP/RN2K2R w KQk - 1 11,f4d2 c8c1,984
WqnFG,,r1b1kbr1/pp3p1p/2N1pp2/q6Q/8/4B3/PPP2PPP/2KR1B1R b q - 0 11,a5h5 d1d8,1028
Wqll2,,4k1r1/3p1p2/3bpQ2/p5Np/7P/P3R3/6P1/2r4K w - - 1 36,f6f1 c1f1,862
WqlaF,,N1R5/pp1k1p2/8/3p4/4n3/7K/PP2Rb1P/6r1 w - - 1 27,c8c2 e4g5,1020
Wqn1f,,r5k1/p3Qpp1/2p5/2B4p/P1P3n1/1r2pbPP/3q1P2/R3RBK1 w - - 0 25,h3g4 d2f2,1314
WqmYn,,8/8/2RB1p2/2Pp3k/P6p/1r1KP2P/1r3P2/8 w - - 3 44,d3d4 b2d2,1058
Wq9bx,,3r1Q1k/6pp/4P3/pp6/4P3/P7/1P1q3P/5R1K b - - 3 30,d8f8 f1f8,593
Wq9g6,,2r3bk/6p1/p1p1P2p/1p1p1q2/1P6/P3Q2P/1B3P2/4R1K1 b - - 0 35,c8e8 e3h6 f5h7 b2g7,1534
Wq9ao,,6k1/5pp1/PQ2p2p/4Nq2/3p4/7P/r4PP1/4R1K1 w - - 0 39,a6a7 f5f2 g1h2 f2g2,1143
Wq9bh,,8/8/p3R1K1/kp1p2B1/2pP4/1PP4r/P4n2/8 b - - 0 52,c4b3 g5d8 a5a4 e6a6,1737
WqAB9,,rnb1k1nr/pp3ppp/1qp5/2bp4/3BP3/2N2P2/PPP3PP/R2QKBNR w KQkq - 1 7,d4g7 c5f2 e1d2 b6e3,1110
WqAGN,,3N1R2/p6k/2p4p/1p5Q/4q3/P7/1PP5/1K4r1 w - - 1 46,b1a2 e4c4 b2b3 c4c2,1181
Wq9iH,,r1bqknr1/pp2pp1p/3p2p1/2nN4/6P1/4Q2P/PPP1PP2/2KR1BNR b q - 1 12,h7h5 d5f6,1149
Wq9y5,,rn1qk1nr/pp2b1pp/4Q3/1b1p1N2/8/8/PPP2PPP/RNB1K2R b KQkq - 2 10,b5d7 f5d6 e8f8 e6f7,1677
Wq9Yu,,5rk1/5r1p/p3Q1p1/1p2p3/8/1P6/1Pq3PP/R2R3K w - - 0 23,e6e5 c2d1 a1d1 f7f1 d1f1 f8f1,1283
WqkH0,,1k6/ppp1rB2/8/8/4P2p/2P2PbP/PPP1K3/3R4 b - - 0 23,e7f7 d1d8,1181
WqkG2,,r4r1k/pp2qpp1/2p1p2p/6b1/4P2P/1P4Q1/PB3PP1/R3R1K1 b - - 0 19,g5h4 g3g7,666
WqkXG,,5k2/R7/5Kp1/6P1/8/p3r3/8/8 b - - 6 49,e3g3 a7a8,1557
WqkPy,,3r1rk1/1b1P3p/pq4p1/1p2b1N1/8/7P/PP2QPP1/3RR1K1 w - - 0 24,e2e5 b6f2 g1h2 f2g2,1081
WqjUF,,1r2rkbQ/6p1/p4pP1/3P3P/2p2N2/5R2/PqP5/KR6 w - - 0 37,b1b2 e8e1 b2b1 e1b1,1201
WqjDT,,2Q5/2p2pk1/p1p3p1/4r1qp/1P3n2/P1P5/5PPP/R3R2K w - - 2 26,g2g3 e5e1 a1e1 g5d5 f2f3 d5f3 h1g1 f3g2,1685
Wqjv5,,6k1/8/1p2pR2/pP2N1p1/P3Pn2/5PK1/5P2/3r4 w - - 2 43,g3g4 d1g1,661
Wqjqm,,r5k1/1pq3pp/2p1p3/p2n1bN1/P3P2r/1Q1N2b1/1P3PB1/R4RK1 w - - 0 21,e4f5 g3h2 g1h1 h2g1 h1g1 c7h2,1581
WqnLp,,3k4/7R/6R1/5pP1/5P2/p3P3/4rr1p/6K1 w - - 0 57,g1h1 f2f1,407
WqqWm,,8/1p1Q3p/p3p1pk/3pP1N1/3N1rP1/1P5K/5q1P/8 b - - 0 37,f2d4 d7h7 h6g5 h7h4,1505
WqqSd,,4r3/p5Rp/kp4p1/4Np2/P1RBn3/1P6/5PPP/5K2 w - - 1 28,e5c6 e4d2 f1g1 e8e1,1510
Wqqo1,,r4rk1/2b1n1pp/p1pqp3/1p1p4/P2P4/1B2Q3/1PP1NPPP/R4RK1 w - - 1 18,a4b5 d6h2,602
WqqlN,,1n3R2/6pk/4p1rp/p1P5/qp2P2Q/8/1B3PPP/3R2K1 w - - 0 34,f8b8 a4d1,1056
WqqAm,,r1bq1rk1/ppp2p2/3p4/7Q/8/2b1P1P1/PnB1KPP1/R5N1 b - - 0 16,d8f6 h5h7,822
Wqq6v,,b3r3/6kp/5pp1/2b5/8/2Q3PP/1PP2P2/6K1 w - - 0 40,c3c5 e8e1 g1h2 e1h1,550
WqqIg,,6k1/8/2P5/4pN2/1P2P3/P2p1p2/2bQ4/K5q1 w - - 2 50,a1b2 g1b1 b2c3 b1b3,867
WqqDA,,r2qk2r/pb1n1pb1/1p2B1p1/4P2p/3p3P/BPN1P3/P1Q3P1/2KR3R b kq - 0 16,f7e6 c2g6,610
WqqsV,,5r2/4k1Qp/3pP1p1/p2P4/4p1P1/7P/8/3q1BK1 b - - 1 39,e7e8 g7d7,1240
WqrYi,,3r4/6k1/7p/5ppB/1pQbpqP1/1P6/5PP1/3R3K b - - 2 39,d4e5 c4f7 g7h8 d1d8,1583
WqrTd,,r2q2k1/pQ3ppp/5n2/4r3/2P3b1/8/PP3PPP/RNB1R1K1 w - - 0 20,e1e5 d8d1 e5e1 d1e1,1053
WqrpJ,,2k2br1/2pr4/p4p1p/P4Q2/2PpR2q/7P/2P2PP1/1R4K1 b - - 0 24,h4g5 e4e8,919
WqrbC,,2r2rQk/R5bp/6pN/2q1p3/4P1b1/6P1/5PBP/R5K1 b - - 3 27,f8g8 h6f7,940
WqrAU,,4k3/1p1R1p2/p1p5/2N1p1qp/4P2b/1B3P1K/PPP4P/8 b - - 4 27,h4f2 b3f7 e8f8 c5e6,1160
WqqvC,,5rk1/pp4b1/2pp1q1p/3P4/2P5/2N3Q1/PP4PP/R6K w - - 3 23,c3e4 f6f1 a1f1 f8f1,633
WqrOk,,rnb1k1nr/ppp2ppp/3p1q2/2bPp3/2P1P3/8/PP3PPP/RNBQKBNR w KQkq - 1 5,b1c3 f6f2,1087
WqrFd,,r4k1r/4bppp/q2Np3/6P1/1n2PP1P/2N1B3/1PPQ4/1K1R3R w - - 1 23,b1c1 a6a1 c3b1 b4a2,1161
Wqnxx,,6k1/pNp2pp1/1b6/3P4/1P4p1/P2R2P1/2P1r1KP/8 w - - 2 29,g2h1 e2e1 h1g2 e1g1,1133
Wqnu1,,2q2rkr/Bp2ppb1/5n2/3PN3/2P2R2/2N5/PP1QB1b1/5RK1 w - - 0 26,f1f2 h8h1 g1g2 c8h3,1558
WqoNO,,3rr1k1/1pn2pp1/1pp4p/8/2bP4/1N6/PP3PPP/2R1R1K1 w - - 0 23,c1c4 e8e1,1136
Wqo9p,,2kr3r/ppp2ppp/4b3/4R3/1nPN4/8/PPP2PPP/R1B3K1 w - - 3 14,d4e6 d8d1 e5e1 d1e1,568
WqnPd,,4r1k1/p1b2p1p/5p2/4q3/2PN4/1P4Pb/PB1P1P1P/R2Q2K1 w - - 5 24,d1f3 e5e1 a1e1 e8e1,479
WqnLw,,8/pp2k3/8/2pPN3/2P1B3/2PKR1P1/P6r/3b4 w - - 3 38,e4f3 d1c2,1043
WqnmJ,,8/PR6/1P4pk/8/r6p/1r3P2/5K2/5R2 w - - 0 53,f1h1 a4a2 f2e1 b3b1,1089
WqnWo,,5R2/p5pk/2p3Np/2pp3P/4n1P1/1P6/6PK/r7 b - - 2 34,e4f6 f8h8,774
Wqon7,,4r1k1/p3q2p/1p2R1pB/8/3Q4/6P1/PP3P1P/6K1 b - - 0 27,e7e6 d4g7,830
WqpSE,,r3r1k1/2q2pbp/p5p1/1p6/2p3n1/P1N1Bb1P/1PP1QPP1/3R1RK1 w - - 0 21,e2f3 c7h2,725
WqpRP,,4r1k1/pppQ1pp1/2q4p/8/7P/2P3P1/PP1R1P2/3Rr1K1 w - - 8 29,d1e1 e8e1 g1h2 c6h1,958
WqpvP,,1r4Q1/pb2kp1p/6p1/np3P2/2p2B2/2P2N2/PPB2qPP/RN5K w - - 5 23,g8b8 f2f1 f3g1 b7g2,956
WqpSY,,5r1k/p1q1NppQ/1b6/1p6/2p5/4R3/P4PPP/5RK1 b - - 0 29,h8h7 e3h3,1007
WqovH,,5k2/R7/p3p1p1/1p2Np2/7K/2P2P2/PPP3nP/6r1 w - - 6 38,h4h3 g2f4 h3h4 g6g5,1371
WqorW,,4r1nk/1pqr1ppp/p1p5/4p1P1/2PPQ3/P1PR4/2B2P1P/R5K1 b - - 1 26,f7f6 e4h7 h8h7 d3h3,1919
Wqp4L,,2kr3r/ppp2Qpp/8/2b5/5Bn1/2N1Pq2/PP3P1P/R3KR2 b Q - 0 17,h8f8 f7c7,1445
WqoxZ,,rnb1k2r/pp4pp/1q2pB2/3pN3/8/1PN5/P1P2bPP/R2QKB1R w KQkq - 0 12,e1d2 b6e3,1034
Wr1A2,,5rk1/1b3Np1/p3Q2p/np6/3P1b1q/P5P1/BPr2P1P/R3R1K1 b - - 0 22,f4g3 f7e5 g8h7 e6g6 h7h8 e5f7 f8f7 e1e8 f7f8 e8f8,2448
WpqI1,,r4rk1/1p3ppp/p1n5/3q4/1b1pnB2/5P2/PPQN1P1P/1BR1K2R b K - 0 16,e4d2 c2h7,640
Wpq7u,,2r1bbkr/1p2p1pp/p7/3PBQ2/q1P3p1/2R5/P2N3P/5RK1 b - - 5 25,a4d7 f5f8,1037
WpqKm,,5bk1/1p3p1p/4q3/8/P1R1QP1P/3Bn1P1/8/6K1 b - - 1 35,e3c4 e4h7,1201
WpqJ0,,6rk/1p3rp1/2b2p1p/q2p4/4PQ1R/P4P1P/3PKP2/6R1 b - - 5 31,h8h7 g1g7 g8g7 f4h6 h7g8 h6h8,1910
Wpps1,,6k1/5pbp/4p1p1/3pP3/P1bPNP1q/B7/1Q4PP/6K1 w - - 3 32,e4d6 h4e1,707
Wr6C4,,r3r1k1/1p2qp1p/p1b1pNp1/2p5/7Q/1P1P4/P1P2PPP/R4RK1 b - - 1 18,g8f8 h4h6,1525
Wpq13,,8/p4p2/5q1k/4p2P/3pQr2/3P2RK/PP4P1/8 w - - 2 38,e4e2 f6h4,713
Wppyj,,r6k/1p6/p2p3q/3Pb3/4QN2/P1P4P/1P4P1/1B5K w - - 4 37,f4e6 h6c1 e4e1 c1e1,910
Wpqmz,,2r4k/pb4pp/2q2p2/1p6/8/B1PR1nP1/1KQ2P2/7R b - - 4 35,f3e5 d3d8 c8d8 c2h7,1885
WprKj,,2kr2nr/pppq2pp/5p2/n2N4/3P4/2Q1B3/PP3PPN/2R2RK1 b - - 0 15,d7d5 c3c7,845
WprCG,,4r1r1/2pq2p1/pp1b1p1k/3R4/2P1bPPp/1P5P/PB2NQ1K/5R2 b - - 2 30,e4d5 f2h4 h6g6 h4h5,1752
WprLy,,7k/8/pR5p/2pN4/2Pb2p1/1P4P1/P4rKP/8 w - - 0 38,g2h1 f2f1 h1g2 f1g1,1068
WprLY,,r1bq2k1/p1pp2p1/1pn1p1Qp/6N1/3P4/2PB4/PP4PP/RN4K1 b - - 0 15,d8g5 g6e8,1549
WpqyT,,r5k1/2bQ2pp/p1p5/2Pp4/PP2p3/4q3/3N2PP/5R1K b - - 1 24,e3d2 d7f7 g8h8 f7f8 a8f8 f1f8,1233
WpqtD,,7k/7P/p7/3pbQ2/2p5/7P/P1B3PK/4q3 w - - 3 34,g2g3 e1g3 h2h1 g3h2,1370
WprBR,,5rk1/1bp1rpp1/pp1q3p/3P2N1/P1P5/3Q2P1/2P5/b1BK3R b - - 4 25,f8e8 d3h7 g8f8 h7h8,763
Wpr2l,,6k1/p1R2ppb/4p2p/4R3/8/1P3nP1/P4PKP/3r1B2 b - - 4 22,f3e5 c7c8 d1d8 c8d8,400
Wr57n,,r4rk1/1pqb2p1/p2bp1N1/3p2BQ/P2P4/2Pn3P/2N2PP1/R3R1K1 w - - 3 22,e1e3 d6h2 g1f1 f8f2,1179
Wr50R,,5rk1/R3Rpp1/8/4Q3/8/5q1P/2r3PK/8 w - - 0 37,e5e4 c2g2 h2h1 f3h3,2079
Wr5Ow,,rn1qkb1r/ppp1n1pp/3p4/4N2P/2B1P1b1/2N5/PPP2PP1/R1BQK2R b KQkq - 0 9,g4d1 c4f7,995
Wr5Ob,,4r1k1/8/5n1p/2N3p1/1Q3p2/7P/1P2qPPB/R5K1 w - - 1 32,b4b7 e2e1 a1e1 e8e1,608
Wr4ul,,r4r1k/p3R1pp/1pQ5/8/3P4/2P5/1q3PPP/4R1K1 w - - 0 28,c6d6 b2f2 g1h1 f2f1 e1f1 f8f1,1164
Wr4pa,,r2qnrk1/ppp1n3/6Rp/4p3/3P4/2P2P2/PPQN3P/2K3R1 b - - 0 18,e7g6 c2g6 e8g7 g6g7,1372
Wr4xf,,r4k1r/pbpn2p1/1p3n1p/5B2/3P3Q/2P5/P1P1q1PP/R1B2RK1 w - - 1 16,f5d7 e2g2,1046
Wr4wP,,3r3k/7p/5q2/ppp3pP/4Q3/4P3/P1Br1P2/5RK1 b - - 1 32,d8g8 e4h7,572
Wr5XO,,4r1k1/pbpq1ppp/8/8/1N6/P1n2Q2/1PP2PPP/R1B3K1 w - - 0 16,f3c3 d7d1 c3e1 e8e1,761
Wr5wh,,r1b1Qk1r/bp1p1p1p/p2q1pn1/8/2B5/5N2/PP3PPP/R1B1R1K1 b - - 1 17,f8g7 e8f7,886
Wr5pZ,,3Q4/5p2/1kpp2p1/4b3/8/1PP4P/P3rq2/1K4R1 b - - 3 34,b6c5 d8a5,1192
Wr69y,,3r2k1/5ppp/3Rpq2/pQ6/8/1P6/1PP3PP/2K1R3 b - - 0 24,d8d6 b5e8,1402
Wr63l,,2k3nr/pppr2pp/3bp3/4B3/8/2N5/PPP3PP/3R1R1K b - - 3 17,d6e5 f1f8 d7d8 d1d8,671
Wr5gq,,r1n1b3/1p1rPk2/5Bp1/3p1pP1/p1p5/P4B2/4R2P/4R1K1 b - - 5 32,c8d6 f3d5,805
Wr5bS,,5rk1/2p3b1/1r1p2pp/pPnR1p2/4q2P/P3PN2/4Q1PB/2K2B1R w - - 1 24,d5d2 c5b3 c1d1 e4b1,1312
Wr5m7,,2kr4/p1p2pb1/1pQ1p2p/4P1q1/3rp1P1/P5B1/1PP2PP1/R3K1NR w KQ - 1 19,g1e2 g5d2 e1f1 d2d1 a1d1 d4d1,1128
Wr5jt,,4r1k1/5p1p/p5p1/4r3/RP6/3bN3/5PPP/2R3K1 w - - 0 27,e3g4 e5e1 c1e1 e8e1,752
WpsOx,,5Rk1/pp4p1/3P3B/1qr5/4Q3/6P1/P6P/6K1 b - - 2 37,g8f8 e4e7 f8g8 e7g7,1289
WpvTi,,3r2k1/4r1p1/p6p/2N1R3/1p3p2/8/PP3PPP/6K1 w - - 0 36,e5e7 d8d1 e7e1 d1e1,399
WpvHL,,r2qk2r/pp3ppp/2b1p3/2bnP3/3N4/2N1BQ2/PPP3PP/R4RK1 b kq - 4 13,d5e3 f3f7,1246
Wpvgz,,8/5ppk/4p2p/3pP3/3q1P2/5QPP/P1r2R1K/1r6 w - - 0 42,f2c2 d4g1,868
WpvUe,,6k1/p1r2ppp/1p2p3/P2pP3/3P4/7P/6P1/1R4K1 b - - 0 27,b6a5 b1b8 c7c8 b8c8,469
WpuSk,,r6k/pp1Pr3/2p5/3p1p1Q/5q2/3B1P2/PPP4P/6RK b - - 2 23,e7h7 h5e8 a8e8 d7e8q,1429
WpuFf,,6k1/5p1p/1r1r2p1/1q6/7P/2Q1R3/1p3PP1/1R4K1 b - - 1 33,d6c6 e3e8,818
Wpv69,,8/5p2/5npp/1pk5/2p1KPPP/P1P2N2/1P6/8 w - - 5 39,e4e5 f6g4 e5e4 f7f5,1461
Wpv4o,,r1b2k1r/ppq2ppp/3p1n2/8/1PB1PQ2/P7/2P2PPP/3R1RK1 b - - 3 16,c7c4 f4d6 f8g8 d6d8 f6e8 d8e8,848
WpvjX,,r3k1r1/pQ2pp2/3p1q2/5P1p/7K/8/P4PPP/R4B1R w q - 3 22,h4h3 f6f5 g2g4 f5g4,1168
WpwF6,,8/B7/8/8/1P2bk2/4R2K/2r5/8 w - - 1 44,e3b3 e4f5 h3h4 c2h2 b3h3 h2h3,1563
Wpw5I,,1rrR1nk1/5p1p/p1qb1Qp1/4P3/8/8/PPB3PP/1KBR4 w - - 7 28,d8d6 c6c2 b1a1 c2c1 d1c1 c8c1,1056
